reference_number,origin,destination,rate_total_usd,rate_per_mile,company,contact,age_posted,extracted_at
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T08:08:30.161Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,14h,2025-09-01T08:08:31.717Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T08:26:08.279Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T08:26:10.079Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,14h,2025-09-01T08:26:11.795Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T08:42:52.643Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T08:42:54.544Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,14h,2025-09-01T08:42:56.418Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T09:00:23.480Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T09:00:25.399Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,14h,2025-09-01T09:00:27.357Z
AUTO_Q29TBWVY,"Commerce City, CORichmond, CA","Richmond, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T09:15:36.346Z
AUTO_RGVUDMVY,"Denver, COSan Francisco, CA","San Francisco, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3904,10h,2025-09-01T09:15:37.674Z
AUTO_Q29TBWVY,"Commerce City, COStockton, CA","Stockton, CA",,,Its National Llc/Its Logistics Llc,(775) 501-3565,14h,2025-09-01T09:15:39.657Z
